,Fecha,Hora,AE_kWh
0,01/07/2020,1,0.206
1,01/07/2020,2,0.204
2,01/07/2020,3,0.197
3,01/07/2020,4,0.205
4,01/07/2020,5,0.196
5,01/07/2020,6,0.198
6,01/07/2020,7,0.196
7,01/07/2020,8,0.418
8,01/07/2020,9,0.187
9,01/07/2020,10,0.189
10,01/07/2020,11,0.19
11,01/07/2020,12,0.203
12,01/07/2020,13,0.19
13,01/07/2020,14,0.193
14,01/07/2020,15,0.191
15,01/07/2020,16,0.235
16,01/07/2020,17,0.197
17,01/07/2020,18,0.194
18,01/07/2020,19,0.189
19,01/07/2020,20,0.189
20,01/07/2020,21,0.207
21,01/07/2020,22,0.292
22,01/07/2020,23,0.298
23,01/07/2020,24,0.241
24,02/07/2020,1,0.219
25,02/07/2020,2,0.267
26,02/07/2020,3,0.211
27,02/07/2020,4,0.212
28,02/07/2020,5,0.205
29,02/07/2020,6,0.198
30,02/07/2020,7,0.198
31,02/07/2020,8,0.415
32,02/07/2020,9,0.196
33,02/07/2020,10,0.19
34,02/07/2020,11,0.192
35,02/07/2020,12,0.191
36,02/07/2020,13,0.19
37,02/07/2020,14,0.25
38,02/07/2020,15,0.242
39,02/07/2020,16,0.242
40,02/07/2020,17,0.299
41,02/07/2020,18,0.262
42,02/07/2020,19,0.261
43,02/07/2020,20,0.258
44,02/07/2020,21,0.336
45,02/07/2020,22,0.325
46,02/07/2020,23,0.878
47,02/07/2020,24,0.257
48,03/07/2020,1,0.434
49,03/07/2020,2,0.211
50,03/07/2020,3,0.207
51,03/07/2020,4,0.201
52,03/07/2020,5,0.204
53,03/07/2020,6,0.205
54,03/07/2020,7,0.452
55,03/07/2020,8,0.251
56,03/07/2020,9,0.196
57,03/07/2020,10,0.192
58,03/07/2020,11,0.195
59,03/07/2020,12,0.198
60,03/07/2020,13,0.191
61,03/07/2020,14,0.192
62,03/07/2020,15,0.192
63,03/07/2020,16,0.261
64,03/07/2020,17,0.244
65,03/07/2020,18,0.305
66,03/07/2020,19,0.202
67,03/07/2020,20,0.2
68,03/07/2020,21,0.207
69,03/07/2020,22,0.207
70,03/07/2020,23,0.239
71,03/07/2020,24,0.278
72,04/07/2020,1,0.239
73,04/07/2020,2,0.218
74,04/07/2020,3,0.21
75,04/07/2020,4,0.215
76,04/07/2020,5,0.209
77,04/07/2020,6,0.214
78,04/07/2020,7,0.248
79,04/07/2020,8,0.227
80,04/07/2020,9,0.389
81,04/07/2020,10,0.202
82,04/07/2020,11,0.537
83,04/07/2020,12,0.727
84,04/07/2020,13,0.315
85,04/07/2020,14,0.265
86,04/07/2020,15,0.208
87,04/07/2020,16,0.193
88,04/07/2020,17,0.193
89,04/07/2020,18,0.191
90,04/07/2020,19,0.192
91,04/07/2020,20,0.196
92,04/07/2020,21,0.193
93,04/07/2020,22,0.207
94,04/07/2020,23,0.252
95,04/07/2020,24,0.271
96,05/07/2020,1,0.26
97,05/07/2020,2,0.217
98,05/07/2020,3,0.202
99,05/07/2020,4,0.199
100,05/07/2020,5,0.199
101,05/07/2020,6,0.199
102,05/07/2020,7,0.199
103,05/07/2020,8,0.228
104,05/07/2020,9,0.25
105,05/07/2020,10,0.222
106,05/07/2020,11,0.353
107,05/07/2020,12,0.228
108,05/07/2020,13,0.204
109,05/07/2020,14,0.189
110,05/07/2020,15,0.87
111,05/07/2020,16,0.943
112,05/07/2020,17,0.349
113,05/07/2020,18,0.203
114,05/07/2020,19,0.189
115,05/07/2020,20,0.195
116,05/07/2020,21,0.19
117,05/07/2020,22,0.192
118,05/07/2020,23,0.193
119,05/07/2020,24,0.228
120,06/07/2020,1,0.275
121,06/07/2020,2,0.292
122,06/07/2020,3,0.207
123,06/07/2020,4,0.202
124,06/07/2020,5,0.203
125,06/07/2020,6,0.198
126,06/07/2020,7,0.196
127,06/07/2020,8,0.22
128,06/07/2020,9,0.187
129,06/07/2020,10,0.189
130,06/07/2020,11,0.193
131,06/07/2020,12,0.219
132,06/07/2020,13,0.191
133,06/07/2020,14,0.242
134,06/07/2020,15,0.29
135,06/07/2020,16,0.581
136,06/07/2020,17,0.421
137,06/07/2020,18,0.318
138,06/07/2020,19,0.268
139,06/07/2020,20,0.405
140,06/07/2020,21,0.247
141,06/07/2020,22,0.256
142,06/07/2020,23,0.31
143,06/07/2020,24,0.335
144,07/07/2020,1,0.227
145,07/07/2020,2,0.203
146,07/07/2020,3,0.2
147,07/07/2020,4,0.198
148,07/07/2020,5,0.195
149,07/07/2020,6,0.197
150,07/07/2020,7,0.202
151,07/07/2020,8,0.253
152,07/07/2020,9,0.244
153,07/07/2020,10,0.21
154,07/07/2020,11,0.19
155,07/07/2020,12,0.283
156,07/07/2020,13,0.247
157,07/07/2020,14,0.262
158,07/07/2020,15,0.288
159,07/07/2020,16,0.26
160,07/07/2020,17,0.259
161,07/07/2020,18,0.257
162,07/07/2020,19,0.308
163,07/07/2020,20,0.333
164,07/07/2020,21,0.302
165,07/07/2020,22,0.297
166,07/07/2020,23,0.332
167,07/07/2020,24,0.244
168,08/07/2020,1,0.215
