CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031607230862002QQ0F;01/07/2020;1;0,206;;;R
ES0031607230862002QQ0F;01/07/2020;2;0,204;;;R
ES0031607230862002QQ0F;01/07/2020;3;0,197;;;R
ES0031607230862002QQ0F;01/07/2020;4;0,205;;;R
ES0031607230862002QQ0F;01/07/2020;5;0,196;;;R
ES0031607230862002QQ0F;01/07/2020;6;0,198;;;R
ES0031607230862002QQ0F;01/07/2020;7;0,196;;;R
ES0031607230862002QQ0F;01/07/2020;8;0,418;;;R
ES0031607230862002QQ0F;01/07/2020;9;0,187;;;R
ES0031607230862002QQ0F;01/07/2020;10;0,189;;;R
ES0031607230862002QQ0F;01/07/2020;11;0,19;;;R
ES0031607230862002QQ0F;01/07/2020;12;0,203;;;R
ES0031607230862002QQ0F;01/07/2020;13;0,19;;;R
ES0031607230862002QQ0F;01/07/2020;14;0,193;;;R
ES0031607230862002QQ0F;01/07/2020;15;0,191;;;R
ES0031607230862002QQ0F;01/07/2020;16;0,235;;;R
ES0031607230862002QQ0F;01/07/2020;17;0,197;;;R
ES0031607230862002QQ0F;01/07/2020;18;0,194;;;R
ES0031607230862002QQ0F;01/07/2020;19;0,189;;;R
ES0031607230862002QQ0F;01/07/2020;20;0,189;;;R
ES0031607230862002QQ0F;01/07/2020;21;0,207;;;R
ES0031607230862002QQ0F;01/07/2020;22;0,292;;;R
ES0031607230862002QQ0F;01/07/2020;23;0,298;;;R
ES0031607230862002QQ0F;01/07/2020;24;0,241;;;R
ES0031607230862002QQ0F;02/07/2020;1;0,219;;;R
ES0031607230862002QQ0F;02/07/2020;2;0,267;;;R
ES0031607230862002QQ0F;02/07/2020;3;0,211;;;R
ES0031607230862002QQ0F;02/07/2020;4;0,212;;;R
ES0031607230862002QQ0F;02/07/2020;5;0,205;;;R
ES0031607230862002QQ0F;02/07/2020;6;0,198;;;R
ES0031607230862002QQ0F;02/07/2020;7;0,198;;;R
ES0031607230862002QQ0F;02/07/2020;8;0,415;;;R
ES0031607230862002QQ0F;02/07/2020;9;0,196;;;R
ES0031607230862002QQ0F;02/07/2020;10;0,19;;;R
ES0031607230862002QQ0F;02/07/2020;11;0,192;;;R
ES0031607230862002QQ0F;02/07/2020;12;0,191;;;R
ES0031607230862002QQ0F;02/07/2020;13;0,19;;;R
ES0031607230862002QQ0F;02/07/2020;14;0,25;;;R
ES0031607230862002QQ0F;02/07/2020;15;0,242;;;R
ES0031607230862002QQ0F;02/07/2020;16;0,242;;;R
ES0031607230862002QQ0F;02/07/2020;17;0,299;;;R
ES0031607230862002QQ0F;02/07/2020;18;0,262;;;R
ES0031607230862002QQ0F;02/07/2020;19;0,261;;;R
ES0031607230862002QQ0F;02/07/2020;20;0,258;;;R
ES0031607230862002QQ0F;02/07/2020;21;0,336;;;R
ES0031607230862002QQ0F;02/07/2020;22;0,325;;;R
ES0031607230862002QQ0F;02/07/2020;23;0,878;;;R
ES0031607230862002QQ0F;02/07/2020;24;0,257;;;R
ES0031607230862002QQ0F;03/07/2020;1;0,434;;;R
ES0031607230862002QQ0F;03/07/2020;2;0,211;;;R
ES0031607230862002QQ0F;03/07/2020;3;0,207;;;R
ES0031607230862002QQ0F;03/07/2020;4;0,201;;;R
ES0031607230862002QQ0F;03/07/2020;5;0,204;;;R
ES0031607230862002QQ0F;03/07/2020;6;0,205;;;R
ES0031607230862002QQ0F;03/07/2020;7;0,452;;;R
ES0031607230862002QQ0F;03/07/2020;8;0,251;;;R
ES0031607230862002QQ0F;03/07/2020;9;0,196;;;R
ES0031607230862002QQ0F;03/07/2020;10;0,192;;;R
ES0031607230862002QQ0F;03/07/2020;11;0,195;;;R
ES0031607230862002QQ0F;03/07/2020;12;0,198;;;R
ES0031607230862002QQ0F;03/07/2020;13;0,191;;;R
ES0031607230862002QQ0F;03/07/2020;14;0,192;;;R
ES0031607230862002QQ0F;03/07/2020;15;0,192;;;R
ES0031607230862002QQ0F;03/07/2020;16;0,261;;;R
ES0031607230862002QQ0F;03/07/2020;17;0,244;;;R
ES0031607230862002QQ0F;03/07/2020;18;0,305;;;R
ES0031607230862002QQ0F;03/07/2020;19;0,202;;;R
ES0031607230862002QQ0F;03/07/2020;20;0,2;;;R
ES0031607230862002QQ0F;03/07/2020;21;0,207;;;R
ES0031607230862002QQ0F;03/07/2020;22;0,207;;;R
ES0031607230862002QQ0F;03/07/2020;23;0,239;;;R
ES0031607230862002QQ0F;03/07/2020;24;0,278;;;R
ES0031607230862002QQ0F;04/07/2020;1;0,239;;;R
ES0031607230862002QQ0F;04/07/2020;2;0,218;;;R
ES0031607230862002QQ0F;04/07/2020;3;0,21;;;R
ES0031607230862002QQ0F;04/07/2020;4;0,215;;;R
ES0031607230862002QQ0F;04/07/2020;5;0,209;;;R
ES0031607230862002QQ0F;04/07/2020;6;0,214;;;R
ES0031607230862002QQ0F;04/07/2020;7;0,248;;;R
ES0031607230862002QQ0F;04/07/2020;8;0,227;;;R
ES0031607230862002QQ0F;04/07/2020;9;0,389;;;R
ES0031607230862002QQ0F;04/07/2020;10;0,202;;;R
ES0031607230862002QQ0F;04/07/2020;11;0,537;;;R
ES0031607230862002QQ0F;04/07/2020;12;0,727;;;R
ES0031607230862002QQ0F;04/07/2020;13;0,315;;;R
ES0031607230862002QQ0F;04/07/2020;14;0,265;;;R
ES0031607230862002QQ0F;04/07/2020;15;0,208;;;R
ES0031607230862002QQ0F;04/07/2020;16;0,193;;;R
ES0031607230862002QQ0F;04/07/2020;17;0,193;;;R
ES0031607230862002QQ0F;04/07/2020;18;0,191;;;R
ES0031607230862002QQ0F;04/07/2020;19;0,192;;;R
ES0031607230862002QQ0F;04/07/2020;20;0,196;;;R
ES0031607230862002QQ0F;04/07/2020;21;0,193;;;R
ES0031607230862002QQ0F;04/07/2020;22;0,207;;;R
ES0031607230862002QQ0F;04/07/2020;23;0,252;;;R
ES0031607230862002QQ0F;04/07/2020;24;0,271;;;R
ES0031607230862002QQ0F;05/07/2020;1;0,26;;;R
ES0031607230862002QQ0F;05/07/2020;2;0,217;;;R
ES0031607230862002QQ0F;05/07/2020;3;0,202;;;R
ES0031607230862002QQ0F;05/07/2020;4;0,199;;;R
